location,min_temp_c,max_temp_c,rainfall_mm,wind_gust_kmh,humidity_9am_pct,humidity_3pm_pct,temp_9am_c,temp_3pm_c,pressure_9am,pressure_3pm,rain_today,rain_tomorrow
Hobart,3.2,12.8,0.0,37.0,82,55,5.3,12.2,1024.9,1020.3,No,No
Hobart,9.8,21.1,0.0,31.0,61,49,15.5,19.5,1018.8,1017.1,No,No
Hobart,10.9,20.0,0.0,87.0,44,27,14.8,18.0,999.0,991.4,No,Yes
Hobart,12.5,24.1,0.0,57.0,51,30,17.2,22.5,1021.5,1021.2,No,No
Hobart,13.5,24.1,0.0,37.0,63,84,18.1,19.1,1010.8,1004.3,No,Yes
Hobart,11.1,24.4,0.0,50.0,58,32,15.2,23.5,1009.4,1005.2,No,No
Hobart,9.9,17.7,5.2,50.0,56,41,12.7,16.9,1011.8,1011.6,Yes,No
Hobart,5.8,17.7,0.0,24.0,65,41,10.8,16.5,1036.1,1033.7,No,No
Hobart,3.1,10.1,3.8,65.0,75,63,5.9,7.9,991.6,994.4,Yes,Yes
Hobart,15.8,23.0,0.8,28.0,89,89,18.2,19.7,1016.5,1012.0,No,Yes
Hobart,4.3,11.1,0.0,24.0,80,73,7.7,9.8,1023.5,1022.2,No,No
Hobart,4.1,15.8,0.2,54.0,74,47,8.5,13.7,992.4,991.8,No,No
Hobart,11.8,16.5,0.0,80.0,50,88,15.9,8.9,992.1,994.7,No,Yes
Hobart,6.8,14.6,5.8,74.0,53,41,9.1,14.1,1014.6,1012.4,Yes,No
Hobart,5.7,13.9,0.0,28.0,64,50,8.4,12.7,1028.2,1025.7,No,No
Hobart,5.2,18.9,0.0,48.0,68,44,9.4,17.4,1014.4,1009.1,No,No
Hobart,1.4,13.8,0.4,54.0,83,43,4.2,11.8,1027.1,1023.3,No,No
Hobart,6.2,16.6,7.6,41.0,68,45,9.6,14.0,1024.1,1024.7,Yes,No
Hobart,9.9,18.9,0.0,37.0,57,45,14.5,18.2,1020.5,1018.4,No,No
Hobart,0.5,10.7,0.0,33.0,82,50,2.7,10.1,1024.2,1022.1,No,No
Hobart,6.1,15.0,0.0,24.0,76,63,11.3,14.6,1028.5,1025.9,No,No
Hobart,8.7,14.4,0.2,50.0,72,41,10.6,12.8,1019.2,1023.5,No,No
Hobart,12.8,23.8,0.0,52.0,54,41,15.4,21.8,1012.3,1010.3,No,No
Hobart,4.4,11.3,0.4,35.0,73,61,6.9,10.5,1027.2,1026.2,No,No
Hobart,5.6,12.3,0.0,46.0,58,54,8.4,12.0,1022.9,1021.2,No,No
Hobart,9.3,17.9,0.6,41.0,58,82,14.9,14.9,1017.7,1014.9,No,Yes
Hobart,8.8,15.3,0.2,54.0,59,59,12.8,12.9,1010.1,1012.6,No,No
Hobart,10.7,21.2,0.0,39.0,61,45,13.8,19.4,1013.6,1012.5,No,No
Hobart,3.0,8.9,1.4,46.0,65,69,5.6,6.5,1017.7,1019.9,Yes,No
Hobart,14.7,25.0,0.0,43.0,73,63,17.7,21.6,1019.6,1015.1,No,No
Hobart,7.1,17.6,8.2,44.0,45,42,12.9,16.3,1023.0,1022.2,Yes,No
Hobart,11.2,15.5,0.2,44.0,60,50,13.0,14.8,1024.0,1025.5,No,No
Hobart,20.5,28.8,0.0,87.0,39,27,25.2,24.3,998.1,997.1,No,No
Hobart,11.9,21.0,0.0,35.0,66,54,17.6,19.8,1019.0,1019.5,No,No
Hobart,8.5,22.3,0.0,65.0,67,37,12.4,20.7,1006.9,999.2,No,No
Hobart,3.3,12.2,0.0,31.0,92,66,4.4,11.2,1026.0,1022.8,No,No
Hobart,1.0,14.7,0.0,35.0,81,41,4.4,14.2,1016.8,1011.7,No,Yes
Hobart,4.9,11.7,0.0,65.0,47,56,7.9,10.5,1012.6,1015.1,No,No
Hobart,3.6,14.7,1.0,43.0,59,45,9.7,13.8,1014.7,1013.4,No,No
Hobart,6.9,10.7,0.4,41.0,69,64,8.6,9.9,1036.7,1034.8,No,No
Hobart,8.0,15.2,4.4,35.0,81,48,10.7,14.4,1014.1,1013.9,Yes,No
Hobart,3.1,13.5,0.0,26.0,92,64,4.8,11.6,1025.0,1022.8,No,No
Hobart,7.9,16.1,0.0,31.0,76,59,9.4,14.0,1027.1,1025.7,No,No
Hobart,14.6,19.1,0.2,61.0,41,35,15.6,17.4,996.1,999.5,No,No
Hobart,11.7,21.5,0.0,39.0,69,56,16.6,20.9,1020.5,1020.0,No,No
Hobart,10.7,19.7,7.6,54.0,49,33,14.6,18.7,1009.1,1010.7,Yes,No
Hobart,10.9,20.0,6.4,50.0,54,45,15.5,19.6,1005.4,1001.1,Yes,No
Hobart,12.6,23.8,0.4,61.0,43,38,16.3,21.7,1008.4,1009.4,No,No
Hobart,3.3,11.1,0.0,43.0,77,50,7.9,11.1,1016.0,1017.2,No,No
Hobart,11.0,16.4,14.4,20.0,79,79,14.6,14.4,1018.0,1014.7,Yes,No
Hobart,13.3,20.7,0.2,41.0,50,59,16.1,17.8,1006.1,1006.5,No,No
Hobart,11.5,21.6,0.0,76.0,56,52,15.0,18.6,997.5,992.0,No,Yes
Hobart,14.4,24.1,0.0,61.0,46,32,16.3,22.4,1005.1,1001.9,No,No
Hobart,8.4,17.6,0.0,26.0,68,55,10.5,16.2,1027.6,1024.6,No,No
Hobart,12.8,24.4,0.0,41.0,60,47,19.1,22.2,1013.6,1010.7,No,No
Hobart,12.1,21.1,0.0,31.0,67,45,14.5,19.3,1024.2,1024.6,No,No
Hobart,2.2,10.3,0.0,37.0,76,73,5.1,8.8,1026.4,1022.6,No,No
Hobart,8.3,12.3,1.0,46.0,89,73,9.3,11.3,1031.6,1031.5,No,Yes
Hobart,16.6,23.3,0.0,61.0,52,34,20.8,21.7,1006.5,1007.1,No,No
Hobart,10.6,22.5,2.2,50.0,55,42,14.9,21.3,1013.2,1012.7,Yes,No
Hobart,5.4,17.2,5.4,81.0,75,44,7.2,12.4,986.6,990.1,Yes,No
Hobart,8.6,14.6,0.0,33.0,58,72,12.6,13.8,1015.5,1011.9,No,No
Hobart,15.7,20.4,1.6,48.0,89,81,17.4,17.0,1005.3,1003.5,Yes,Yes
Hobart,11.6,16.9,0.0,31.0,65,69,13.7,16.8,1025.0,1021.3,No,Yes
Hobart,11.4,17.9,20.8,50.0,73,51,13.3,16.4,1010.7,1011.6,Yes,No
Hobart,9.5,19.9,0.0,43.0,52,46,13.9,18.2,1024.8,1023.8,No,No
Hobart,9.4,11.7,34.6,43.0,93,92,11.3,11.0,1008.6,1008.6,Yes,Yes
Hobart,8.7,22.6,0.0,33.0,47,52,16.1,19.7,1029.0,1026.8,No,No
Hobart,14.3,20.0,0.2,57.0,56,48,17.0,17.3,1018.3,1021.0,No,No
Hobart,7.7,15.2,0.0,37.0,63,58,11.0,12.2,1008.1,1008.2,No,No
Hobart,2.6,13.3,0.0,35.0,88,60,3.9,11.9,1019.3,1017.7,No,Yes
Hobart,11.8,22.2,0.0,63.0,47,30,15.0,21.1,1011.4,1007.7,No,No
Hobart,9.4,21.5,0.2,28.0,70,57,13.0,18.4,1023.9,1020.6,No,No
Hobart,14.7,21.7,0.0,54.0,39,60,19.7,19.1,1017.4,1018.0,No,No
Uluru,12.3,30.1,0.0,39.0,23,10,20.9,29.7,1023.3,1018.5,No,No
Uluru,20.5,35.9,5.0,52.0,71,29,23.4,33.9,1012.9,1009.1,Yes,No
Uluru,15.8,41.4,0.0,50.0,15,4,24.1,39.7,1012.3,1008.5,No,No
Uluru,18.3,36.0,0.0,57.0,29,11,26.4,34.2,1016.0,1011.7,No,No
Uluru,28.9,44.8,0.0,44.0,10,8,36.7,43.3,1010.5,1006.4,No,No
Uluru,18.1,35.9,0.0,35.0,32,14,25.1,33.5,1012.2,1007.6,No,No
Uluru,7.4,25.2,0.0,41.0,43,26,14.9,24.0,1025.7,1021.3,No,No
Uluru,11.5,23.4,0.0,28.0,57,55,15.9,22.6,1018.1,1013.8,No,No
Uluru,18.0,34.6,0.0,39.0,64,32,24.6,33.2,1006.7,1003.1,No,No
Uluru,5.2,25.4,0.0,31.0,40,15,15.0,24.4,1024.7,1020.1,No,No
Uluru,15.1,30.6,0.0,43.0,28,17,24.0,29.5,1018.4,1014.4,No,No
Uluru,24.1,37.0,0.0,35.0,30,20,27.4,36.1,1013.1,1008.7,No,No
Uluru,14.4,28.7,4.8,59.0,95,58,18.5,24.9,1011.7,1008.6,Yes,Yes
Uluru,16.3,29.9,0.0,39.0,47,28,21.7,29.3,1017.4,1014.4,No,No
Uluru,14.3,31.6,0.0,26.0,71,24,19.8,30.5,1022.0,1018.4,No,No
Uluru,12.3,35.5,0.0,43.0,9,6,28.4,34.1,1015.9,1011.5,No,No
Uluru,23.0,38.7,0.0,41.0,25,16,32.0,38.0,1011.4,1008.8,No,No
Uluru,-1.5,24.0,0.0,54.0,25,11,8.9,22.7,1016.7,1012.5,No,No
Uluru,20.7,28.8,5.4,44.0,87,61,22.0,26.7,1012.6,1010.3,Yes,No
Uluru,27.3,36.1,0.0,41.0,26,20,30.9,35.0,1008.4,1005.6,No,No
Uluru,20.0,37.6,0.0,44.0,15,8,27.7,35.5,1016.7,1012.6,No,No
Uluru,24.0,42.2,0.0,57.0,18,10,33.8,40.5,1017.4,1012.7,No,No
Uluru,2.0,23.2,0.0,31.0,47,21,12.7,22.5,1026.3,1022.4,No,No
Uluru,18.5,32.4,0.0,30.0,34,26,25.5,30.7,1013.1,1009.7,No,No
Uluru,15.6,24.9,4.8,22.0,95,50,16.7,23.0,1018.0,1014.3,Yes,No
Uluru,10.8,24.2,10.6,22.0,87,52,11.8,22.7,1025.1,1021.2,Yes,No
Uluru,4.5,18.8,0.0,31.0,42,26,9.5,18.6,1026.9,1022.4,No,No
Uluru,9.2,35.0,0.0,57.0,18,6,21.8,34.6,1015.1,1010.5,No,No
Uluru,19.1,28.8,3.0,41.0,87,49,20.2,27.4,1017.4,1014.2,Yes,No
Uluru,0.9,19.6,0.0,30.0,60,23,9.6,18.5,1024.2,1020.9,No,No
Uluru,9.6,26.8,0.0,52.0,27,15,17.0,24.5,1015.2,1010.4,No,No
Uluru,0.8,20.8,0.0,48.0,64,23,9.0,19.9,1024.6,1020.7,No,No
Uluru,21.3,34.6,0.0,48.0,17,10,26.7,33.5,1016.2,1011.9,No,No
Uluru,22.7,37.7,0.0,35.0,36,23,29.2,36.4,1013.7,1010.5,No,No
Uluru,12.1,27.8,0.0,37.0,28,17,17.8,26.6,1021.7,1018.2,No,No
Uluru,4.1,24.7,0.0,26.0,33,17,13.4,23.7,1022.1,1017.2,No,No
Uluru,19.5,38.1,0.0,52.0,22,12,30.0,36.3,1012.9,1009.1,No,No
Uluru,13.1,38.7,,26.0,17,7,26.1,38.4,1012.4,1007.8,,No
Uluru,14.7,29.5,0.0,46.0,33,14,19.1,28.6,1019.2,1015.0,No,No
Uluru,16.0,36.0,0.0,31.0,14,9,28.4,34.9,1013.9,1010.0,No,No
Uluru,10.2,27.9,0.0,44.0,85,30,14.3,27.8,1020.5,1015.8,No,No
Uluru,17.9,31.3,0.0,46.0,27,16,21.0,29.6,1022.9,1017.4,No,No
Uluru,20.0,38.9,0.0,59.0,12,12,31.3,38.4,1007.2,1002.6,No,No
Uluru,16.0,30.2,0.0,43.0,42,18,19.5,27.7,1017.3,1013.6,No,No
Uluru,5.1,23.1,0.0,35.0,59,38,12.5,21.3,1019.3,1015.8,No,No
Uluru,20.1,34.4,0.0,39.0,46,27,26.3,30.5,1011.6,1009.5,No,No
Uluru,10.9,33.2,0.0,39.0,18,8,24.5,31.3,1015.2,1009.9,No,No
Uluru,18.2,35.8,0.0,41.0,27,14,27.1,34.0,1015.8,1011.4,No,No
Uluru,18.8,36.6,0.0,46.0,23,11,29.0,35.0,1015.9,1012.6,No,No
Uluru,13.8,26.9,0.0,35.0,49,24,16.2,25.4,1019.1,1015.1,No,Yes
Uluru,25.7,39.9,0.0,50.0,41,12,28.1,38.8,1012.4,1008.1,No,No
Uluru,17.4,32.8,0.0,56.0,42,14,20.6,31.1,1011.7,1007.9,No,No
Uluru,10.3,34.9,0.0,35.0,11,7,22.3,34.3,1017.1,1012.3,No,No
Uluru,22.2,39.1,0.0,41.0,14,8,29.9,37.7,1013.5,1009.0,No,No
Uluru,15.8,30.5,0.0,41.0,67,36,20.8,29.0,1017.3,1013.1,No,No
Uluru,13.0,29.2,0.0,44.0,36,23,21.5,29.0,1020.4,1016.3,No,No
Uluru,28.2,39.5,0.0,83.0,35,21,30.6,38.1,1005.9,1001.0,No,Yes
Uluru,24.3,39.7,0.0,46.0,36,17,30.4,38.1,1007.9,1003.9,No,No
Uluru,13.7,17.3,8.0,22.0,92,67,14.1,16.9,1022.1,1020.5,Yes,Yes
Uluru,4.5,21.1,0.0,52.0,47,20,10.9,19.9,1031.5,1026.6,No,No
Uluru,20.3,37.6,0.0,37.0,18,12,28.0,36.1,1011.7,1007.6,No,No
Uluru,,23.5,,33.0,57,34,15.4,22.5,1020.9,1017.3,,
Uluru,10.9,37.3,0.0,63.0,11,7,25.6,36.6,1011.4,1006.1,No,No
Uluru,13.4,32.9,0.0,35.0,20,8,22.3,32.0,1020.4,1015.9,No,No
Uluru,21.4,24.8,0.4,50.0,72,97,23.8,17.7,1010.6,1010.4,No,Yes
Uluru,8.1,20.8,0.0,31.0,99,57,9.2,18.7,1024.6,1020.3,No,No
Uluru,20.1,38.1,0.0,74.0,16,11,27.9,37.7,1017.4,1014.0,No,No
Uluru,10.2,26.2,0.0,24.0,76,37,15.2,25.2,1019.9,1016.0,No,No
Uluru,,27.7,,48.0,58,31,18.1,26.5,1020.9,1017.4,,
Uluru,11.5,32.5,0.0,30.0,25,12,22.4,30.4,1015.0,1010.8,No,No
Uluru,13.9,36.3,0.0,41.0,25,10,25.2,34.9,1014.9,1010.3,No,No
Uluru,20.1,37.8,0.6,46.0,48,26,27.5,35.3,1009.1,1005.7,No,No
Uluru,30.7,45.4,0.0,39.0,28,10,35.1,44.2,1004.0,999.7,No,No
Uluru,23.1,39.9,0.0,37.0,33,16,28.1,37.8,1012.3,1007.7,No,No
Uluru,9.8,30.5,0.0,46.0,26,11,20.2,29.8,1022.3,1017.5,No,No
Uluru,10.3,25.8,0.0,43.0,28,17,18.6,25.1,1018.5,1017.0,No,No
Uluru,4.9,27.8,0.0,28.0,42,14,14.0,27.1,1023.4,1020.4,No,No
Uluru,14.9,34.9,0.0,48.0,14,12,28.2,33.8,1009.8,1006.7,No,No
Uluru,15.6,33.1,0.0,46.0,31,11,21.3,32.3,1011.3,1005.4,No,No
Uluru,4.8,22.2,0.0,35.0,59,24,12.5,21.4,1024.3,1019.8,No,No
Uluru,4.2,18.9,0.0,37.0,60,35,9.8,17.9,1022.7,1020.7,No,No
Uluru,16.3,35.7,0.0,41.0,30,19,23.8,33.4,1012.5,1008.4,No,No
Uluru,22.6,39.2,0.0,56.0,25,7,30.5,38.0,1015.8,1010.7,No,No
Uluru,3.5,22.9,0.0,39.0,57,27,11.2,22.5,1024.0,1020.8,No,No
Uluru,9.5,23.1,0.0,43.0,50,28,13.8,22.1,1024.6,1020.8,No,No
Uluru,18.3,29.3,1.0,41.0,84,37,19.8,27.5,1011.4,1007.5,No,No
Uluru,20.6,40.9,0.0,57.0,22,13,32.0,39.7,1009.2,1005.3,No,No
Uluru,3.2,20.1,0.0,26.0,39,17,8.2,19.4,1025.5,1022.4,No,No
Uluru,20.0,44.1,0.0,57.0,9,10,36.1,41.5,1010.5,1005.3,No,No
Uluru,15.1,34.6,0.0,41.0,37,17,24.0,33.2,1013.8,1009.4,No,No
Uluru,18.4,34.0,0.0,52.0,29,13,20.2,32.4,1019.2,1013.1,No,No
Uluru,3.8,19.7,0.0,44.0,51,26,9.8,18.5,1026.3,1022.3,No,No
Uluru,15.2,21.5,6.8,30.0,65,65,19.0,21.2,1016.9,1015.3,Yes,Yes
Uluru,5.0,22.6,0.0,31.0,49,19,13.2,21.6,1024.2,1019.9,No,No
Uluru,10.3,24.8,0.0,41.0,47,28,16.5,23.7,1022.8,1018.8,No,No
Uluru,27.8,39.1,0.0,80.0,36,43,31.9,30.1,1007.2,1003.3,No,Yes
Uluru,2.9,20.3,0.0,37.0,94,31,9.4,19.5,1019.4,1017.7,No,No
Uluru,8.0,24.6,0.0,33.0,46,25,13.8,23.5,1021.7,1018.8,No,No
Uluru,15.2,30.2,0.2,28.0,77,31,19.3,28.4,1021.1,1017.9,No,No
Uluru,16.8,37.8,0.0,41.0,26,14,26.4,37.0,1017.4,1013.7,No,No
Wollongong,17.4,23.2,0.0,57.0,84,76,20.1,22.6,1024.7,1023.2,No,Yes
Wollongong,13.3,20.0,0.0,41.0,54,51,16.7,19.4,1018.1,1016.7,No,No
Wollongong,10.6,19.1,0.0,41.0,68,36,15.3,18.5,1012.7,1009.2,No,No
Wollongong,14.6,20.5,4.0,26.0,73,64,18.7,20.0,1019.6,1016.1,Yes,No
Wollongong,21.0,23.6,0.0,43.0,76,64,21.6,23.1,1019.9,1019.8,No,No
Wollongong,18.5,21.6,36.2,70.0,58,62,20.3,20.3,1020.3,1019.5,Yes,No
Wollongong,12.4,19.8,0.0,30.0,66,54,15.5,18.5,1028.6,1024.3,No,No
Wollongong,18.5,23.1,0.0,39.0,75,74,21.4,22.3,1023.8,1023.1,No,No
Wollongong,12.6,22.6,0.0,31.0,55,76,19.9,18.9,1011.6,1006.9,No,No
Wollongong,10.7,16.3,0.0,113.0,46,41,11.7,15.8,1005.2,1000.9,No,No
Wollongong,15.6,17.0,15.0,56.0,94,96,16.1,16.5,1014.8,1014.7,Yes,Yes
Wollongong,15.2,20.3,1.4,46.0,77,70,17.8,19.9,1027.4,1025.5,Yes,Yes
Wollongong,15.7,21.4,0.0,50.0,74,79,19.3,20.7,1017.9,1012.8,No,No
Wollongong,10.9,21.4,0.4,72.0,47,34,13.8,20.5,1015.0,1014.4,No,No
Wollongong,20.0,22.4,26.6,67.0,76,71,21.1,21.5,1022.1,1019.8,Yes,No
Wollongong,19.5,23.1,9.8,44.0,82,74,20.3,22.2,1019.6,1019.0,Yes,No
Wollongong,9.9,16.9,0.0,54.0,61,35,12.7,16.4,1021.5,1019.7,No,No
Wollongong,7.7,15.3,0.0,41.0,55,50,12.7,15.1,1026.1,1025.4,No,No
Wollongong,13.3,20.9,0.0,33.0,50,63,17.0,19.1,1022.4,1020.6,No,No
Wollongong,13.1,22.5,0.0,43.0,56,78,19.5,19.3,1018.6,1015.0,No,No
Wollongong,13.2,23.7,0.0,35.0,49,73,18.7,19.7,1023.9,1020.4,No,No
Wollongong,12.6,19.4,0.0,31.0,64,75,17.2,16.7,1015.4,1013.5,No,Yes
Wollongong,17.2,22.8,0.0,57.0,65,58,19.6,21.6,1006.0,1007.5,No,No
Wollongong,19.6,20.7,0.0,56.0,79,68,20.4,19.1,1014.1,1016.0,No,No
Wollongong,18.9,27.2,0.0,61.0,33,76,25.6,19.1,1010.5,1013.4,No,No
Wollongong,9.5,18.9,0.0,57.0,42,28,12.7,18.6,1021.5,1017.0,No,No
Wollongong,9.6,18.2,1.0,43.0,81,66,14.7,16.8,1028.4,1025.0,No,No
Wollongong,16.6,22.8,0.0,44.0,63,60,19.9,22.1,1022.5,1019.1,No,No
Wollongong,17.7,28.0,0.0,,76,71,21.5,25.2,1020.1,1017.9,No,No
Wollongong,11.7,18.6,0.0,30.0,73,66,15.8,17.8,1024.4,1022.5,No,No
Wollongong,16.6,23.2,0.0,39.0,64,57,20.1,23.0,1015.4,1011.3,No,No
Wollongong,16.4,24.6,0.0,30.0,84,88,19.5,19.6,1010.4,1008.8,No,No
Wollongong,20.7,26.4,0.0,52.0,87,73,22.8,25.1,1016.3,1011.3,No,No
Wollongong,13.6,21.5,0.0,44.0,62,72,17.7,17.8,1025.6,1021.5,No,No
Wollongong,21.1,25.8,0.2,22.0,90,81,22.1,23.2,1019.6,1017.1,No,Yes
Wollongong,19.4,31.7,12.2,46.0,55,31,24.0,30.9,1009.0,1006.5,Yes,No
Wollongong,20.4,31.8,0.0,59.0,64,37,23.6,31.6,1008.5,1002.8,No,Yes
Wollongong,15.8,24.4,0.0,37.0,55,56,19.3,22.9,1018.2,1014.4,No,No
Wollongong,7.9,16.4,0.0,59.0,53,30,9.9,15.4,1015.2,1016.5,No,No
Wollongong,7.9,17.4,0.0,28.0,47,51,11.9,15.7,1027.8,1023.5,No,No
Wollongong,14.9,22.0,0.0,31.0,66,71,18.6,18.9,1030.4,1028.9,No,No
Wollongong,11.4,20.1,0.0,43.0,74,66,15.9,18.5,1024.3,1024.3,No,No
Wollongong,13.9,22.4,0.0,28.0,76,76,18.9,22.0,1018.8,1017.6,No,No
Wollongong,10.0,20.6,0.0,35.0,66,65,14.5,16.7,1017.7,1010.2,No,No
Wollongong,17.4,23.1,1.4,41.0,75,76,20.6,21.6,1019.1,1017.2,Yes,No
Wollongong,14.9,19.9,30.2,65.0,87,72,15.4,19.1,1009.7,1010.3,Yes,Yes
Wollongong,17.0,21.2,0.0,80.0,89,84,18.6,20.4,1012.5,1010.4,No,No
Wollongong,11.5,19.5,0.0,57.0,70,66,16.3,18.5,1026.4,1019.5,No,No
Wollongong,11.4,20.2,0.0,28.0,44,55,17.0,18.5,1018.7,1014.3,No,No
Wollongong,13.1,22.7,0.0,70.0,48,36,16.0,20.4,1010.2,1007.5,No,No
Wollongong,9.3,16.9,0.0,17.0,66,63,14.0,16.4,1035.7,1032.7,No,No
Wollongong,10.9,19.0,0.0,50.0,66,69,16.7,17.5,1030.7,1026.7,No,No
Wollongong,10.4,13.6,0.2,37.0,87,80,10.9,12.6,1024.3,1022.2,No,Yes
Wollongong,11.4,16.3,0.0,44.0,70,67,14.3,15.7,1035.1,1033.5,No,Yes
Wollongong,12.2,16.0,0.0,100.0,45,36,13.9,14.8,1009.2,1013.7,No,No
Wollongong,10.7,16.7,5.6,30.0,89,83,14.0,15.2,1031.6,1029.2,Yes,Yes
Wollongong,10.2,18.2,0.0,35.0,54,38,13.6,18.0,1019.5,1015.8,No,No
Wollongong,12.7,20.3,7.2,41.0,74,66,16.8,19.6,1022.7,1022.1,Yes,No
Wollongong,14.3,21.7,0.0,56.0,34,51,18.7,20.2,1011.9,1011.5,No,No
Wollongong,12.0,18.2,0.0,76.0,44,31,13.9,17.3,1012.1,1012.3,No,No
Wollongong,11.8,19.9,1.2,,86,77,15.6,17.9,1016.3,1013.4,Yes,
Wollongong,17.5,23.3,0.0,26.0,76,81,20.0,21.8,1009.9,1005.4,No,No
Wollongong,12.4,21.3,0.0,44.0,48,69,18.9,18.4,1024.4,1019.6,No,No
Wollongong,17.6,25.6,8.4,48.0,74,82,22.5,20.1,1006.4,1004.8,Yes,Yes
Wollongong,11.9,20.6,0.0,100.0,58,51,14.6,12.4,1003.3,1002.8,No,No
Wollongong,21.8,26.5,0.0,48.0,74,81,24.7,24.1,1021.9,1022.2,No,Yes
Wollongong,12.7,17.5,0.0,35.0,65,74,15.5,17.0,1030.7,1028.6,No,No
Wollongong,16.6,20.9,0.0,24.0,80,82,18.4,19.5,1024.1,1021.9,No,No
Wollongong,21.6,42.4,0.0,98.0,68,68,26.8,27.0,1001.2,996.9,No,No
Wollongong,17.5,22.2,1.2,65.0,61,56,17.8,21.4,1008.2,1008.2,Yes,No
Wollongong,7.7,15.7,0.0,33.0,46,53,11.5,14.7,1019.4,1016.9,No,No
Wollongong,7.2,14.5,0.2,33.0,71,57,11.6,13.0,1020.0,1017.8,No,No
Wollongong,11.7,17.4,0.0,43.0,53,52,14.6,16.7,1025.8,1022.7,No,No
Wollongong,13.4,23.8,0.0,50.0,49,58,18.1,20.3,1014.4,1009.2,No,No
Wollongong,16.9,23.0,0.0,54.0,79,67,17.7,21.5,1011.6,1011.1,No,No
Wollongong,11.2,17.1,0.0,46.0,50,63,15.1,13.5,1016.0,1016.8,No,No
Wollongong,13.7,19.5,0.0,67.0,69,72,16.9,17.7,1019.5,1017.9,No,Yes
Wollongong,13.0,16.9,1.8,59.0,58,58,14.6,14.6,1018.2,1019.1,Yes,No
Wollongong,14.4,22.4,0.0,57.0,39,29,18.2,20.9,1011.6,1010.5,No,No
Wollongong,22.0,26.0,0.0,43.0,87,77,23.7,25.5,1014.2,1011.5,No,No
Wollongong,20.3,25.8,0.0,44.0,66,66,23.9,24.8,1014.5,1011.3,No,No
Wollongong,11.3,20.1,0.0,46.0,57,80,17.6,18.1,1022.5,1015.1,No,No
Wollongong,16.9,25.1,0.0,43.0,63,59,19.4,20.9,1003.4,1001.2,No,No
Wollongong,11.7,19.1,0.2,37.0,61,42,15.1,16.8,1013.5,1011.5,No,No
Wollongong,20.7,27.7,0.0,59.0,66,66,24.2,25.4,1011.3,1007.8,No,Yes
Wollongong,14.2,16.7,0.2,54.0,60,64,16.1,15.5,1036.3,1035.8,No,Yes
Wollongong,17.7,24.8,0.0,43.0,75,75,22.8,24.2,1020.1,1016.9,No,No
Wollongong,11.7,18.0,0.0,63.0,74,76,13.5,15.4,1028.5,1028.4,No,Yes
Wollongong,11.6,20.6,0.0,31.0,65,66,18.6,19.9,1027.8,1025.0,No,No
