title,artist,popularity,album,playlist_name,genre,subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ghost,Au/Ra,72,Ghost,Dance Pop Tunes,pop,dance pop,66.7,50.3,0,-8.217,0,5.26,55.2,0.0,16.900000000000002,58.4,144.015,177630
Panic Room,Au/Ra,75,Panic Room,Intro to Indie Poptimism,pop,indie poptimism,49.5,42.6,8,-9.434,1,7.359999999999999,15.2,0.000565,9.9,6.36,97.91,237773
Ghost - The Him Remix,Au/Ra,44,Ghost (Remixes),Electro House Top Tracks,edm,electro house,59.1,82.5,0,-4.02,0,7.68,9.22,0.0,14.8,57.9,126.064,184762
Panic Room - Club Mix,Au/Ra,46,Panic Room,💊ELECTRO-HOUSE-TECH💊,edm,electro house,66.3,86.6,7,-7.046,0,3.69,0.125,40.0,3.46,28.3,122.997,425123
Panic Room,Au/Ra,67,Panic Room,Deep Electronic Music 2020 & Progressive House,edm,progressive electro house,57.8,88.3,10,-6.423,1,2.98,2.59,7.06,11.8,25.5,122.987,214483
Hold Up,Beyoncé,75,Lemonade,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,52.400000000000006,39.7,0,-11.936,1,40.5,74.5,0.0,52.1,55.2,80.744,221093
Halo,Beyoncé,77,I AM...SASHA FIERCE,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,50.8,72.0,11,-5.908,0,6.279999999999999,27.200000000000003,0.0,5.63,47.2,79.983,261640
Run the World (Girls),Beyoncé,75,4,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,73.3,89.9,0,-4.237,1,14.3,0.496,0.00472,37.2,76.0,127.086,236093
Run the World (Girls),Beyoncé,75,4,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,73.3,89.9,0,-4.237,1,14.3,0.496,0.00472,37.2,76.0,127.086,236093
Halo,Beyoncé,66,I AM...SASHA FIERCE,Post pop teen,pop,post-teen pop,50.8,72.0,11,-5.908,0,6.279999999999999,27.200000000000003,0.0,5.63,47.2,79.983,261640
Irreplaceable,Beyoncé,72,B'Day Deluxe Edition,BALLARE - رقص,pop,post-teen pop,44.7,69.39999999999999,7,-4.637,0,38.2,2.93,0.000546,16.7,50.9,175.868,227853
Crazy In Love (feat. Jay-Z),Beyoncé,69,Dangerously In Love,BALLARE - رقص,pop,post-teen pop,66.4,75.8,2,-6.583,0,21.0,0.238,0.0,5.98,70.1,99.259,235933
7/11,Beyoncé,71,BEYONCÉ [Platinum Edition],ELECTROPOP,pop,electropop,74.7,70.5,9,-5.137,0,12.6,1.28,0.0,12.6,56.00000000000001,136.024,213507
7/11,Beyoncé,71,BEYONCÉ [Platinum Edition],◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,rap,southern hip hop,74.7,70.5,9,-5.137,0,12.6,1.28,0.0,12.6,56.00000000000001,136.024,213507
Jealous,Beyoncé,55,BEYONCÉ [Platinum Edition],◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,rap,southern hip hop,58.9,54.1,8,-10.087,1,16.3,12.2,0.414,8.82,23.6,133.97,184013
Single Ladies (Put a Ring on It),Beyoncé,69,I AM...SASHA FIERCE,Today's Hits 2000-Present,latin,latin hip hop,42.6,58.4,1,-5.293,1,29.6,3.83,0.0,18.8,27.200000000000003,193.437,193213
Crazy In Love (feat. Jay-Z),Beyoncé,75,Dangerously In Love,School Dance 2019 (Squeaky Clean),latin,latin hip hop,64.60000000000001,77.0,2,-6.596,0,22.6,0.249,0.0,7.15,68.10000000000001,99.165,236133
ALREADY,Beyoncé,69,The Lion King: The Gift,Contemporary Urban,r&b,urban contemporary,64.7,73.2,2,-5.846,1,8.91,8.459999999999999,0.0,59.7,54.8,67.295,222529
MOOD 4 EVA (feat. Oumou Sangaré),Beyoncé,64,The Lion King: The Gift,New R&B‏‏​​   ‍,r&b,urban contemporary,60.8,70.89999999999999,7,-6.175,1,37.4,11.9,0.0,33.7,70.89999999999999,105.742,272069
"Me, Myself and I",Beyoncé,66,Dangerously In Love,urban contemporary,r&b,urban contemporary,75.0,45.8,1,-9.092,1,8.03,22.6,0.00325,13.7,53.6,83.61,301133
7/11,Beyoncé,71,BEYONCÉ [Platinum Edition],Urban/Trap - Contemporary RAP,r&b,urban contemporary,74.7,70.5,9,-5.137,0,12.6,1.28,0.0,12.6,56.00000000000001,136.024,213507
If I Were a Boy,Beyoncé,68,I AM...SASHA FIERCE,urban CONTEMPORARY,r&b,urban contemporary,63.2,51.8,6,-6.126,1,3.1300000000000003,10.7,0.0,35.4,42.7,90.007,249147
Pray You Catch Me,Beyoncé,62,Lemonade,urban CONTEMPORARY,r&b,urban contemporary,25.0,21.5,8,-13.676,0,3.7,63.2,7.17,40.1,7.46,174.824,195987
Forward (feat. James Blake),Beyoncé,56,Lemonade,urban CONTEMPORARY,r&b,urban contemporary,38.7,13.3,7,-15.633,0,4.74,94.7,5.91,10.7,4.98,124.397,79200
Halo,Beyoncé,77,I AM...SASHA FIERCE,urban CONTEMPORARY,r&b,urban contemporary,50.8,72.0,11,-5.908,0,6.279999999999999,27.200000000000003,0.0,5.63,47.2,79.983,261640
Formation,Beyoncé,77,Lemonade,Feeling Accomplished,r&b,hip pop,89.60000000000001,62.1,5,-6.857,0,23.7,0.532,0.0,19.6,81.8,121.966,206080
Hold Up,Beyoncé,75,Lemonade,Feeling Accomplished,r&b,hip pop,52.400000000000006,39.7,0,-11.936,1,40.5,74.5,0.0,52.1,55.2,80.744,221093
Partition,Beyoncé,71,BEYONCÉ [Platinum Edition],Feeling Accomplished,r&b,hip pop,41.2,44.1,11,-11.523,0,29.1,2.96,7.26,30.6,17.4,185.571,319467
7/11,Beyoncé,71,BEYONCÉ [Platinum Edition],Feeling Accomplished,r&b,hip pop,74.7,70.5,9,-5.137,0,12.6,1.28,0.0,12.6,56.00000000000001,136.024,213507
"Me, Myself and I",Beyoncé,66,Dangerously In Love,Neo Soul Music,r&b,neo soul,75.0,45.8,1,-9.092,1,8.03,22.6,0.00325,13.7,53.6,83.61,301133
Blame It on the Boom Boom,Black Stone Cherry,57,Between The Devil & The Deep Blue Sea (Special Edition),Badass Rock,rap,southern hip hop,57.4,88.9,10,-3.44,1,5.24,0.207,0.00112,3.3300000000000005,78.4,116.007,189133
White Trash Millionaire,Black Stone Cherry,56,Between The Devil & The Deep Blue Sea (Special Edition),Badass Rock,rap,southern hip hop,48.5,89.8,4,-3.75,1,5.680000000000001,0.0776,0.244,64.2,49.4,99.983,198680
Me And Mary Jane,Black Stone Cherry,49,Magic Mountain,Badass Rock,rap,southern hip hop,45.8,93.1,6,-3.806,0,11.1,0.1399999999999999,0.0105,13.5,69.5,84.954,248147
Rain Wizard,Black Stone Cherry,38,Black Stone Cherry,Badass Rock,rap,southern hip hop,24.5,80.5,6,-3.778,0,4.5,0.0287,0.0225,27.500000000000004,64.8,171.272,204760
Be Cowboy (PBR Anthem),Black Stone Cherry,41,Be Cowboy (PBR Anthem),Hard Rock,rock,hard rock,42.2,91.3,11,-4.658,1,8.58,0.1119999999999999,0.00475,25.6,77.0,164.892,159759
Can't You See,Black Stone Cherry,54,Between The Devil & The Deep Blue Sea (Special Edition),HARD ROCK CAFE,rock,hard rock,39.8,84.6,11,-4.217,1,4.41,0.0469,0.00246,17.2,41.1,149.893,211160
Journey Feat. Emma Carn - Radio Mix,BUNT.,30,Journey,Chillout & Remixes 💜,pop,indie poptimism,50.3,43.8,0,-17.995,1,4.8500000000000005,31.8,11.1,9.13,40.9,123.824,236129
Journey - Radio Mix,BUNT.,48,Journey,Tropical House,latin,tropical,50.2,43.7,0,-17.997,1,4.82,31.8,10.6,9.16,40.7,123.913,236129
Old Guitar,BUNT.,49,Old Guitar,Tropical Morning,latin,tropical,48.6,85.39999999999999,0,-4.859,1,5.69,7.39,0.00107,35.8,46.9,123.942,208548
La Vida Me Hizo Cabron,C-Kan,49,La Vida Me Hizo Cabron,Arena Hip-Hop,rap,hip hop,78.8,88.9,11,-2.845,1,5.47,6.69,0.000176,24.4,79.7,142.959,203811
Santa Maria,C-Kan,48,Santa Maria,Arena Hip-Hop,rap,hip hop,65.60000000000001,49.9,10,-11.958,0,10.3,32.300000000000004,0.0,37.4,40.8,91.924,180003
M-E-X-I-C-O,C-Kan,48,Voy Por El Sueño de Muchos,Mexican Gangsta Rap,rap,gangster rap,65.4,81.69999999999999,10,-4.832,0,31.3,2.28,0.0,21.6,86.0,174.055,272342
Un Par De Balas,C-Kan,57,Clasificación C Vol.1,Mexican Gangsta Rap,rap,gangster rap,81.6,81.3,8,-3.124,1,36.1,44.8,0.0,15.3,79.0,171.816,228092
Havana,Camila Cabello,26,Havana,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,76.8,51.7,7,-4.323,0,3.12,18.6,0.0038,10.4,41.8,104.992,216897
Cry for Me,Camila Cabello,73,Cry for Me,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,72.1,80.5,9,-4.134,0,9.27,5.0,0.0,15.3,65.3,118.058,189133
Liar,Camila Cabello,87,Liar,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,pop,dance pop,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
Liar,Camila Cabello,87,Liar,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
Easy,Camila Cabello,78,Easy,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,57.4,59.3,4,-5.731,0,4.63,41.1,0.000155,9.66,35.5,128.073,194686
Cry for Me,Camila Cabello,73,Cry for Me,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,72.1,80.5,9,-4.134,0,9.27,5.0,0.0,15.3,65.3,118.058,189133
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,The Sound of Post-Teen Pop,pop,post-teen pop,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
Easy,Camila Cabello,73,Romance,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,57.4,59.3,4,-5.731,0,4.63,41.1,0.000155,9.66,35.5,128.073,194686
Liar,Camila Cabello,77,Romance,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
Shameless,Camila Cabello,73,Romance,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,37.7,65.10000000000001,4,-5.437,0,5.88,1.97,0.00531,17.4,8.51,129.698,219742
Cry for Me,Camila Cabello,70,Romance,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,72.1,80.5,9,-4.134,0,9.27,5.0,0.0,15.3,65.3,118.058,189133
Havana (feat. Young Thug),Camila Cabello,84,Camila,Post pop teen,pop,post-teen pop,76.5,52.3,2,-4.333,1,3.0,18.4,0.00356,13.2,39.4,104.988,217307
Havana,Camila Cabello,26,Havana,BALLARE - رقص,pop,post-teen pop,76.8,51.7,7,-4.323,0,3.12,18.6,0.0038,10.4,41.8,104.992,216897
Havana (feat. Young Thug),Camila Cabello,84,Camila,10er Playlist,pop,electropop,76.5,52.3,2,-4.333,1,3.0,18.4,0.00356,13.2,39.4,104.988,217307
Liar,Camila Cabello,87,Liar,POPTIMISM,pop,indie poptimism,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,indie poptimism🕺🏻,pop,indie poptimism,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,latin,latin pop,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
Liar,Camila Cabello,87,Liar,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,latin,latin pop,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,latin,latin hip hop,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
Liar,Camila Cabello,87,Liar,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,latin,latin hip hop,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
Havana - Remix,Camila Cabello,69,Havana (Remix),latin hip hop,latin,latin hip hop,75.1,57.9,2,-4.036,1,3.2099999999999995,39.8,0.00228,13.3,34.9,105.031,199095
Liar,Camila Cabello,87,Liar,Most Popular 2020 TOP 50,r&b,urban contemporary,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,Most Popular 2020 TOP 50,r&b,urban contemporary,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
Consequences,Camila Cabello,73,Camila,urban contemporary,r&b,urban contemporary,45.5,29.2,0,-6.792,1,5.63,88.9,0.0,10.6,43.0,84.339,178467
Havana (feat. Young Thug),Camila Cabello,84,Camila,Cuban vibes only,r&b,urban contemporary,76.5,52.3,2,-4.333,1,3.0,18.4,0.00356,13.2,39.4,104.988,217307
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,r&b,hip pop,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
Should've Said It,Camila Cabello,74,Romance,Girl On Fire,r&b,hip pop,66.60000000000001,54.900000000000006,5,-5.781,0,2.69,2.81,0.0181,13.6,59.6,98.014,200626
Havana (feat. Young Thug),Camila Cabello,84,Camila,Hip pop,r&b,hip pop,76.5,52.3,2,-4.333,1,3.0,18.4,0.00356,13.2,39.4,104.988,217307
Cry for Me,Camila Cabello,73,Cry for Me,"Latest Hits 2020 - Pop, Hip Hop & RnB",r&b,hip pop,72.1,80.5,9,-4.134,0,9.27,5.0,0.0,15.3,65.3,118.058,189133
Liar,Camila Cabello,87,Liar,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,r&b,hip pop,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
Never Be the Same,Camila Cabello,66,Never Be the Same,Today's Hits (Clean),r&b,hip pop,64.3,70.89999999999999,0,-4.343,1,7.33,14.499999999999998,0.0449,11.5,26.4,129.961,227088
Real Friends,Camila Cabello,63,Real Friends,Today's Hits (Clean),r&b,hip pop,74.0,30.3,3,-8.612,1,11.7,83.5,0.0,7.82,81.89999999999999,91.958,213933
Havana,Camila Cabello,26,Havana,Today's Hits (Clean),r&b,hip pop,76.8,51.7,7,-4.323,0,3.12,18.6,0.0038,10.4,41.8,104.992,216897
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,edm,pop edm,72.39999999999999,49.1,8,-6.024,1,2.96,1.7999999999999998,0.00129,8.870000000000001,38.3,105.046,170746
Liar,Camila Cabello,87,Liar,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,74.0,49.8,11,-6.684,0,4.5600000000000005,1.69,0.282,31.9,65.2,98.016,207039
Shameless,Camila Cabello,76,Shameless,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,37.7,65.10000000000001,4,-5.437,0,5.88,1.97,0.00531,17.4,8.51,129.698,219742
Easy,Camila Cabello,78,Easy,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,57.4,59.3,4,-5.731,0,4.63,41.1,0.000155,9.66,35.5,128.073,194686
Cry for Me,Camila Cabello,73,Cry for Me,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,72.1,80.5,9,-4.134,0,9.27,5.0,0.0,15.3,65.3,118.058,189133
La Difícil,Camilo,78,La Difícil,Latin Pop VIP,latin,latin pop,67.5,36.0,1,-6.66,0,11.2,67.0,0.0,15.9,55.3,64.921,158533
Tutu,Camilo,88,Tutu,LATIN POP 2020 🔥 Pop latino actual,latin,latin pop,73.1,83.2,9,-2.592,1,5.029999999999999,27.3,0.0,6.65,94.0,146.013,178613
No Te Vayas,Camilo,78,No Te Vayas,LATIN POP 2020 🔥 Pop latino actual,latin,latin pop,76.6,72.1,6,-4.46,0,7.380000000000001,5.27,0.0,12.8,81.0,92.001,201227
Tutu - Remix,Camilo,77,Tutu (Remix),Exitos 2020 - Latin Billboard,latin,latin pop,73.1,76.3,0,-3.6,1,4.33,38.2,0.0007070000000000001,7.539999999999999,86.5,154.111,164191
Tutu,Camilo,88,Tutu,¡Viva Latino!,latin,reggaeton,73.1,83.2,9,-2.592,1,5.029999999999999,27.3,0.0,6.65,94.0,146.013,178613
La Difícil,Camilo,78,La Difícil,¡Viva Latino!,latin,reggaeton,67.5,36.0,1,-6.66,0,11.2,67.0,0.0,15.9,55.3,64.921,158533
Tutu - Remix,Camilo,77,Tutu (Remix),Verano Forever,latin,reggaeton,73.1,76.3,0,-3.6,1,4.33,38.2,0.0007070000000000001,7.539999999999999,86.5,154.111,164191
Tutu,Camilo,88,Tutu,Latest Latin American Hits 2020,latin,latin hip hop,73.1,83.2,9,-2.592,1,5.029999999999999,27.3,0.0,6.65,94.0,146.013,178613
Tutu - Remix,Camilo,77,Tutu (Remix),Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,pop edm,73.1,76.3,0,-3.6,1,4.33,38.2,0.0007070000000000001,7.539999999999999,86.5,154.111,164191
Spell on Me,Chris Goldarg,17,Room 679,House Electro 2019,edm,electro house,73.4,56.99999999999999,3,-9.559,0,11.7,0.029,4.46,13.900000000000002,70.39999999999999,128.005,256100
The Activist,Chris Goldarg,18,Room 679,House Electro 2019,edm,electro house,68.8,92.5,8,-5.409,0,13.7,5.56,2.62,9.33,73.8,128.051,166875
Carousel,Chris Goldarg,16,Room 679,House Electro 2019,edm,electro house,81.8,76.2,10,-9.347,0,12.7,0.118,86.9,8.37,64.7,128.016,166874
Overdue,Chris Goldarg,16,Room 679,House Electro 2019,edm,electro house,76.0,65.5,10,-10.838,0,5.04,41.3,69.39999999999999,10.3,40.8,128.014,168750
Don't Play,Chris Goldarg,14,Room 679,House Electro 2019,edm,electro house,70.8,95.0,0,-4.081,1,7.399999999999999,1.4,33.4,5.96,42.5,127.997,185664
Surrender,Chris Goldarg,17,Room 679,House Electro 2019,edm,electro house,67.9,85.3,5,-5.716,0,4.12,0.492,51.0,4.92,78.3,119.992,148000
Nakamoto,Chris Goldarg,15,Room 679,House Electro 2019,edm,electro house,74.8,91.4,0,-5.571,1,11.0,5.779999999999999,50.3,36.8,45.2,120.013,130000
X Ray,Chris Goldarg,15,Room 679,House Electro 2019,edm,electro house,76.8,98.2,2,-1.865,1,15.4,3.2099999999999995,52.900000000000006,19.2,36.1,125.009,168960
All Mine,Chris Goldarg,17,Room 679,House Electro 2019,edm,electro house,68.89999999999999,92.0,7,-7.033,1,7.380000000000001,0.911,70.39999999999999,10.9,78.7,119.919,208250
Pumpkin Soup,Chris Goldarg,19,Room 679,House Electro 2019,edm,electro house,74.4,88.0,4,-7.129,0,16.3,3.03,71.5,18.1,85.7,127.99,202500
Remember Me,DA Image,34,Remember Me,Gangster Rap,rap,gangster rap,56.99999999999999,73.5,0,-8.041,0,18.7,2.21,0.0,34.599999999999994,73.5,146.068,184999
Upper Echelon,DA Image,38,Upper Echelon,Gangsta Rap/90's Hip-Hop,rap,gangster rap,79.80000000000001,55.3,0,-7.671,1,23.7,11.8,0.0,11.2,59.7,93.902,188996
Upper Echelon,DA Image,38,Upper Echelon,Pop Hits 2000-2019,edm,pop edm,79.80000000000001,55.3,0,-7.671,1,23.7,11.8,0.0,11.2,59.7,93.902,188996
California Girls,David Lee Roth,46,Crazy From The Heat,80s Pop & Rock Hits and Album Tracks,rock,album rock,58.2,74.8,4,-5.93,1,5.21,43.2,0.0,7.07,43.3,115.13,171456
Just Like Paradise,David Lee Roth,55,Skyscraper,The Sound of Album Rock,rock,album rock,61.1,85.3,2,-4.983,1,3.4000000000000004,2.19,0.0,67.10000000000001,37.6,135.558,243280
Just Like Paradise,David Lee Roth,55,Skyscraper,’80s Hard Rock,rock,hard rock,61.1,85.3,2,-4.983,1,3.4000000000000004,2.19,0.0,67.10000000000001,37.6,135.558,243280
Tua Per Sempre,Elisa,64,Diari Aperti,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),r&b,hip pop,39.4,79.4,4,-4.369,1,7.16,27.200000000000003,0.0,10.3,58.5,81.621,207347
Anche Fragile,Elisa,8,Diari Aperti,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),r&b,hip pop,43.5,57.8,2,-3.796,1,3.2,27.500000000000004,0.0,15.8,14.7,130.455,239693
Vivere Tutte Le Vite - con Carl Brave,Elisa,66,Diari Aperti,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),r&b,hip pop,60.4,63.9,11,-8.501,0,12.8,13.4,0.0,8.790000000000001,49.1,171.887,220604
Pink + White,Frank Ocean,77,Blonde,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,54.400000000000006,55.2,9,-7.45,1,9.91,67.0,0.00457,41.5,55.400000000000006,159.738,184516
Thinkin Bout You,Frank Ocean,75,channel ORANGE,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,72.1,33.900000000000006,0,-11.195,1,5.319999999999999,40.9,0.153,9.73,20.0,129.83,200747
Chanel,Frank Ocean,82,Chanel,Electropop,pop,electropop,77.60000000000001,50.3,0,-5.732,0,23.7,87.4,0.0,11.2,47.3,110.134,210285
Forrest Gump,Frank Ocean,65,channel ORANGE,indie poptimism,pop,indie poptimism,70.1,41.7,6,-7.818,0,3.29,8.88,0.0648,37.5,18.6,95.003,194840
Ivy,Frank Ocean,77,Blonde,indie poptimism,pop,indie poptimism,56.7,38.8,9,-9.579,0,3.84,78.2,0.0308999999999999,24.8,45.2,116.362,249191
Pink + White,Frank Ocean,77,Blonde,Urban Contemporary,r&b,urban contemporary,54.400000000000006,55.2,9,-7.45,1,9.91,67.0,0.00457,41.5,55.400000000000006,159.738,184516
Novacane,Frank Ocean,71,Novacane,Urban Contemporary,r&b,urban contemporary,76.2,50.8,3,-9.112,1,9.19,5.84,0.126,16.0,37.0,93.51,302347
